CountSketch5,CountSketch10,SRHT5,SRHT10,SJLT5,SJLT10,Gaussian5,Gaussian10
0.6863649047978108,0.39391112833269754,0.6376060669456751,0.3422741888058849,0.6764300172106397,0.39587291141145636,0.6999201788769797,0.38721153549826326
0.4814222979247999,0.15440004878963337,0.3966138675254548,0.11070300324675275,0.46237177793936207,0.15374510154730595,0.4634619337359657,0.15171186313541535
0.33080848487410575,0.06048596284373557,0.25182641067942024,0.03802244017170927,0.2973626129847555,0.061181918212168916,0.30766121041576905,0.05822015367394658
0.22260835318768413,0.0232536051527926,0.15581408559907833,0.012839227236308644,0.20847885388443171,0.02378040678150369,0.21619895971627617,0.02282097732446551
0.14665977732018556,0.008857941137332893,0.09857373155740883,0.004384622940930832,0.1436412047929448,0.009041600678032807,0.14661110891725945,0.008628595220102897
0.09692844122391467,0.0034582384786693184,0.06115425877136137,0.0014891812532625928,0.09624293599775387,0.0034863134502956345,0.09907667896009463,0.003316423976772502
0.06605914550963084,0.0013374416424867257,0.03892228071878621,0.00050388827665206,0.06820981776475614,0.0013130838762376556,0.0700180327961164,0.001336113121933763
0.04518862333296772,0.0005190170152637736,0.024514753973107675,0.0001691424698216334,0.0465617119799457,0.0005019073884779335,0.04669103982314463,0.0004897977653877119
0.030144318094096373,0.00019841957031094091,0.015213223905198511,5.7695890007554914e-05,0.03145295118722077,0.00019677641760417283,0.03131176837896842,0.00019170172082022687
0.019844562778247997,7.912691996775635e-05,0.009371808302478093,1.8746272268380184e-05,0.021055744673902074,7.696312895356632e-05,0.021318460913494316,7.371371310288333e-05
0.013730336789530015,3.227503455846037e-05,0.006195805418429297,6.412313122080737e-06,0.013978739393983267,2.9086408925616854e-05,0.01462517622434448,2.9484246950961078e-05
0.008485628866604223,1.2741577002759266e-05,0.004161023288637841,2.1486033510633653e-06,0.009108297999388166,1.166800206572177e-05,0.010434509451100573,1.1552150997302133e-05
0.005606220732939126,4.800696219625358e-06,0.0028000130568522704,7.348293740507487e-07,0.0061152867630057655,4.518131043085394e-06,0.006833969825007195,4.515688045036196e-06
0.0038273190318367594,1.883187807346276e-06,0.0016662552500569957,2.4213210451353127e-07,0.004245122859331768,1.7471429801550526e-06,0.004658275999038406,1.7228575715797587e-06
0.002666817698512101,7.431768746710844e-07,0.0010786592065895751,7.782554590288298e-08,0.0028829829062669244,6.773610531394213e-07,0.0033218382683567805,6.325206838431259e-07
0.0017512466595450144,2.816676055583346e-07,0.000677010042909225,2.758328129813882e-08,0.0019614005241410477,2.6454470957530747e-07,0.002225994222784561,2.4265823614091726e-07
0.001194607256941384,1.0616313652852728e-07,0.0004091687870889416,9.253885215206486e-09,0.001386818937460309,1.0394926223610089e-07,0.0015028021049213905,9.44811530667789e-08
0.0008218972598995908,4.344660899793737e-08,0.00026360749630587895,3.0966124297937e-09,0.0008978172263236974,4.0075787935952e-08,0.0010106049704862406,3.615194854457341e-08
0.0005748636628936477,1.693482560882745e-08,0.0001679965828253614,1.0395808137586545e-09,0.0006028950798982231,1.5768887797548403e-08,0.000669956942615705,1.4041024428690441e-08
0.0003873503954882653,6.6748290951026825e-09,0.00010396156470164591,3.555434215338607e-10,0.0004073925034054333,6.172023791726999e-09,0.00044704622478434987,5.40870908249996e-09
