Exact(SVD),Exact(SVD),Exact(SVD),Exact(SVD),Exact(SVD),Classical,Classical,Classical,Classical,Classical,CountSketch,CountSketch,CountSketch,CountSketch,CountSketch,SRHT,SRHT,SRHT,SRHT,SRHT,SJLT,SJLT,SJLT,SJLT,SJLT,Gaussian,Gaussian,Gaussian,Gaussian,Gaussian
Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error
0.0,0.008207999765872956,0.0,0.0,0.00010639579812271593,0.001143375188112259,0.0008725467137992382,0.0008438510820269584,0.006049848130741537,0.0002422480620155039,0.0010665689036250113,0.0003663744404911995,0.0008757947944104671,0.0023355789704044543,0.00010619669026602507,0.016691537406295538,0.0003982299380004406,0.00013861922547221185,0.0024302148890175384,9.978735662691346e-05,0.0040594952553510665,0.00035927701741456986,0.0009432235546410083,0.002304112556025745,0.00010839294858212416,0.10779762525111437,0.0004262692853808403,0.00013657007366418839,0.0022873796767818155,0.00010884865294944604
0.0,0.008207999765872956,0.0,0.0,0.00010639579812271593,0.001143375188112259,0.0008725467137992382,0.0008438510820269584,0.006049848130741537,0.0002422480620155039,0.0009971712343394756,0.0003167099878191948,0.0008521036989986897,0.0008989743067258692,0.00010936190686776055,0.01621812466531992,0.00041047489270567894,0.00038587676361203195,0.0009724045028424652,0.00011075415249436142,0.004066481590270996,0.0003220265358686447,0.0008844577521085739,0.0009289107801750626,0.0001104816339994441,0.1050351881980896,0.0004399952106177807,0.0001381290890276432,0.0009510310066865048,0.00010730805696818917
0.0,0.008207999765872956,0.0,0.0,0.00010639579812271593,0.001143375188112259,0.0008725467137992382,0.0008438510820269584,0.006049848130741537,0.0002422480620155039,0.001015197392553091,0.00032283347100019454,0.0008574189618229866,0.00036906732659138886,0.00010638624986972362,0.016148415748029946,0.00041071411222219466,0.00014430861920118333,0.00035895900453085334,0.00010608481431370826,0.004045878183096647,0.00031917104497551917,0.000868904497474432,0.00034821880243870806,0.00010680718443117513,0.10419180562719703,0.0004416368901729584,0.00014345515519380568,0.0003581285151647016,0.00010638336136374467
0.0,0.008207999765872956,0.0,0.0,0.00010639579812271593,0.001143375188112259,0.0008725467137992382,0.0008438510820269584,0.006049848130741537,0.0002422480620155039,0.0010134918428957463,0.0003139163739979267,0.0008579198084771633,0.00013642932585146309,0.00010651917038296218,0.016170805152505636,0.0004098610021173954,0.00013944990932941438,0.00013906736323026118,0.00010667722546990962,0.004031287338584662,0.0003168617933988571,0.0008669714443385601,0.0001409091329941338,0.00010643305194240178,0.1049670185521245,0.0004517797939479351,0.00014546826481819152,0.00015193557043015744,0.00010647241626886028
0.0,0.008207999765872956,0.0,0.0,0.00010639579812271593,0.001143375188112259,0.0008725467137992382,0.0008438510820269584,0.006049848130741537,0.0002422480620155039,0.0010064582154154778,0.00031606294214725494,0.0008565459586679935,5.573997589731285e-05,0.00010639675530411647,0.016126103196293116,0.0004115750081837177,0.0001392611488699913,5.81601935818677e-05,0.00010626633549378845,0.004029120225459338,0.0003185512870550156,0.0008645552769303322,5.398862341983437e-05,0.00010640169885159256,0.10408150643110275,0.0004437312111258507,0.0001416315697133541,6.341041668796764e-05,0.00010645451302421004
0.0,0.008207999765872956,0.0,0.0,0.00010639579812271593,0.001143375188112259,0.0008725467137992382,0.0008438510820269584,0.006049848130741537,0.0002422480620155039,0.0010114742629230022,0.00031500516459345815,0.0008511251769959926,2.1705905032982364e-05,0.00010639929660791973,0.016068728994578122,0.0004123092629015446,0.00025729745626449583,2.2795318074504877e-05,0.00010639165848707433,0.004030337184667587,0.00031524432823061945,0.000863412357866764,1.9604222308208155e-05,0.0001063926611782132,0.10452238665893673,0.0005865870229899883,0.0001446361839771271,2.4944313861955282e-05,0.00010635064872678239
0.0,0.008207999765872956,0.0,0.0,0.00010639579812271593,0.001143375188112259,0.0008725467137992382,0.0008438510820269584,0.006049848130741537,0.0002422480620155039,0.0010018749907612801,0.0003130230866372585,0.0008518609777092934,8.790820395979175e-06,0.00010640645639391371,0.016134538259357213,0.0004131746292114258,0.00014180878177285193,9.36533167867313e-06,0.00010639938170883737,0.004027103520929814,0.00031939078122377395,0.0008764329180121422,7.367487631745755e-06,0.00010639312052193993,0.10441174749284983,0.0004496889002621174,0.0001439044065773487,9.787289250325185e-06,0.00010639195513738733
0.0,0.008207999765872956,0.0,0.0,0.00010639579812271593,0.001143375188112259,0.0008725467137992382,0.0008438510820269584,0.006049848130741537,0.0002422480620155039,0.000996858961880207,0.0003099756874144077,0.0008531998842954636,3.51520201341434e-06,0.00010639299226287597,0.016186934225261213,0.0004126505367457867,0.00014141907915472983,4.0477466276592255e-06,0.00010639449823732358,0.004028604328632355,0.00031696323305368423,0.0008618859015405178,2.8027032407262644e-06,0.0001063974860727001,0.10425366211682557,0.00045036351308226587,0.00014319479465484618,3.848094823525706e-06,0.00010639858953600228
0.0,0.008207999765872956,0.0,0.0,0.00010639579812271593,0.001143375188112259,0.0008725467137992382,0.0008438510820269584,0.006049848130741537,0.0002422480620155039,0.0010020994022488594,0.00031229928135871886,0.0008561525866389274,1.3064917266124478e-06,0.00010639589442068937,0.016137640345841645,0.00041430624201893807,0.00013984736055135726,1.4656216605195268e-06,0.00010639765178914238,0.004027053508907557,0.00031683381646871564,0.0008625563979148865,1.0751063013711239e-06,0.00010639644404243072,0.10451115658506752,0.00044929897412657736,0.00014243708923459053,1.4432983892874527e-06,0.00010639760491841333
