Rows,Optimal,Classical CountSketch,Classical SRHT,Classical SJLT,Classical Gaussian,IHS CountSketch,IHS SRHT,IHS SJLT,IHS Gaussian
100,0.26508385383097544,0.4156595628413199,0.3046256485276599,0.36708223361863157,0.4037396298180617,0.2649952290590948,0.26508814104997463,0.26482724042727235,0.2650741835253458
200,0.2289865731619111,0.3179173734563682,0.26183298874547545,0.3154263872075647,0.3469296337279268,0.2290670267167371,0.22908269110236407,0.22916181846089906,0.2286812870506138
400,0.14780021649495328,0.21023020866080736,0.1655080459837533,0.21323723752595228,0.20532666761303905,0.14768905581921582,0.147850911620983,0.14761719575938229,0.14787257267549186
800,0.10255639335841324,0.15838800085372268,0.1311605016232388,0.15531550461449778,0.17227778030747223,0.10248040281285717,0.10253168918382076,0.10248828540177299,0.1024529598648867
1600,0.07745884539179734,0.1439288614179395,0.13817899586053858,0.14659057451313187,0.1275004125121006,0.07715219467075832,0.07739828432701275,0.07783542570881716,0.07757657084361545
3200,0.055775107745005034,0.12875213661933504,0.12438179511824832,0.14799722141638444,0.1301432894373431,0.05564877068699821,0.05585305316271422,0.05591272984428795,0.05573327091287923
6400,0.04139218495656346,0.13093759062619253,0.12167014786948967,0.13236414022974602,0.1227456366152535,0.04150568964236117,0.04144643713101945,0.04144639297320276,0.04151185103239824
12800,0.027813308052913432,0.11264542602975838,0.11499073640401755,0.12081735453470425,0.12057871451476125,0.02788217550191417,0.02773528478867418,0.02805670890892988,0.027820859421276073
25600,0.018282225936048196,0.10770334580344965,0.10083416877056817,0.10372640446977185,0.10453029115420445,0.01828287464132019,0.018454234241872623,0.018406242627125976,0.01818429491523251
51200,0.013133666316004941,0.10274102648926324,0.10697836910661358,0.10804506019205633,0.1140891001165539,0.013141667197819413,0.013324024994978579,0.013241697630051489,0.013386920923464269
102400,0.009477853614668094,0.09712050914082211,0.10332296992954315,0.10893129699665818,0.10857028094952689,0.010877981729529562,0.0096318016187946,0.009480798280418555,0.009506928664772499
