Exact(SVD),Exact(SVD),Exact(SVD),Exact(SVD),Exact(SVD),Classical,Classical,Classical,Classical,Classical,CountSketch,CountSketch,CountSketch,CountSketch,CountSketch,SRHT,SRHT,SRHT,SRHT,SRHT,SJLT,SJLT,SJLT,SJLT,SJLT,Gaussian,Gaussian,Gaussian,Gaussian,Gaussian
Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error,Sketch,SVD,Solve,Coefficient Error,Test Error
0.0,0.008855152782052756,0.0,0.0,0.00013527490242563694,0.0008120473474264144,0.0008756975643336773,0.000853981077671051,0.003672648531299804,0.00024224806201550382,0.000824614241719246,0.00039920313283801077,0.00045768385753035544,0.0013151161690874318,0.00013168689562419533,0.017805999889969826,0.0004224540665745735,0.00011706938967108727,0.001476853203228158,0.00012446991760888692,0.002796219941228628,0.0003830411471426487,0.0004773148335516453,0.0013882818985020847,0.00013674356431793905,0.10834807436913252,0.0004776328802108765,0.00011696061119437218,0.0013887761464213188,0.00013351029589741967
0.0,0.008855152782052756,0.0,0.0,0.00013527490242563694,0.0008120473474264144,0.0008756975643336773,0.000853981077671051,0.003672648531299804,0.00024224806201550382,0.0007545162923634052,0.00036270935088396073,0.00040812864899635314,0.00046671396131967155,0.00013548825851010112,0.017090287525206804,0.0004285082221031189,0.00012108748778700828,0.0005580546140475526,0.00013703770571748546,0.0026876346208155157,0.00035475324839353564,0.00042036902159452437,0.0005552070772451883,0.00013647331441808276,0.10625272821635008,0.0004820825532078743,0.00011489959433674812,0.0005137806512538946,0.00013623339191742273
0.0,0.008855152782052756,0.0,0.0,0.00013527490242563694,0.0008120473474264144,0.0008756975643336773,0.000853981077671051,0.003672648531299804,0.00024224806201550382,0.000763536524027586,0.00034729745239019393,0.00039772670716047286,0.0001856902455176779,0.00013472348182717175,0.016863380558788776,0.0004363757558166981,0.00012083929032087326,0.00020454595609369113,0.00013468641197248197,0.002607418689876795,0.0003519143909215927,0.0004013698548078537,0.00018889946534449563,0.00013576512971179966,0.10473382314667105,0.0004909343086183071,0.00011300276964902878,0.00018752042157002606,0.00013609548081644412
0.0,0.008855152782052756,0.0,0.0,0.00013527490242563694,0.0008120473474264144,0.0008756975643336773,0.000853981077671051,0.003672648531299804,0.00024224806201550382,0.0007488710805773735,0.0003514345735311508,0.0003970148041844368,7.039805778571548e-05,0.00013531459444208988,0.017047228384763004,0.00043327901512384414,0.00011956840753555298,7.599448100044731e-05,0.00013514489826633804,0.002625960297882557,0.0003483882173895836,0.00039859768003225327,6.769642530053442e-05,0.00013538466876824657,0.10544068207964301,0.00048121055588126185,0.00012299763038754464,7.445800700864463e-05,0.000135144232250349
0.0,0.008855152782052756,0.0,0.0,0.00013527490242563694,0.0008120473474264144,0.0008756975643336773,0.000853981077671051,0.003672648531299804,0.00024224806201550382,0.0007415888831019402,0.00034372713416814805,0.00039690472185611726,2.823277951100043e-05,0.00013528549844417053,0.01714151045307517,0.00043863672763109205,0.00011845314875245095,3.2314086625818595e-05,0.0001352825199317518,0.002599630504846573,0.00035827271640300753,0.00039919400587677955,2.88061973731539e-05,0.0001353033698355714,0.10515137733891607,0.00048492234200239184,0.00011725723743438721,2.8537418029045236e-05,0.00013519116075748193
0.0,0.008855152782052756,0.0,0.0,0.00013527490242563694,0.0008120473474264144,0.0008756975643336773,0.000853981077671051,0.003672648531299804,0.00024224806201550382,0.000748317688703537,0.00034661777317523956,0.0003972648642957211,1.1757418717463013e-05,0.0001352567652747805,0.017426928970962763,0.00043526096269488337,0.00011902004480361939,1.3562878669216285e-05,0.0001352511889445622,0.0025574840605258943,0.00035069426521658895,0.0003978791646659374,1.1976123817456313e-05,0.0001352922777544578,0.10447806809097529,0.0004954773001372814,0.0001256367191672325,1.2563848639987234e-05,0.00013527269045083477
0.0,0.008855152782052756,0.0,0.0,0.00013527490242563694,0.0008120473474264144,0.0008756975643336773,0.000853981077671051,0.003672648531299804,0.00024224806201550382,0.0007369180209934711,0.0003445255570113659,0.00039189262315630913,4.209804662864963e-06,0.00013527702583061076,0.01718541942536831,0.00044138217344880104,0.0001185370609164238,4.571458369419476e-06,0.00013527982741010476,0.002600482478737831,0.00034866780042648317,0.0003985252231359482,4.168898320183266e-06,0.0001352631966606089,0.10437893755733967,0.0004648410715162754,0.00011234590783715248,5.8303680380779215e-06,0.00013527296106828732
0.0,0.008855152782052756,0.0,0.0,0.00013527490242563694,0.0008120473474264144,0.0008756975643336773,0.000853981077671051,0.003672648531299804,0.00024224806201550382,0.000732527393847704,0.00033924411982297895,0.0003937717527151108,1.5479577317410218e-06,0.00013527633763743115,0.017204648442566396,0.00044100843369960786,0.00011892803013324738,1.8800859965676862e-06,0.00013527000327500036,0.002621071506291628,0.00035044150426983834,0.0003974197432398796,1.6880592376497848e-06,0.000135279330827603,0.10532100712880492,0.00048723984509706496,0.00011773724108934402,2.4936610946916397e-06,0.000135275087916921
0.0,0.008855152782052756,0.0,0.0,0.00013527490242563694,0.0008120473474264144,0.0008756975643336773,0.000853981077671051,0.003672648531299804,0.00024224806201550382,0.0007443638518452644,0.00034456998109817506,0.00039640553295612336,7.639499093578326e-07,0.00013527467057587194,0.01723495814949274,0.0004381092265248299,0.0007889159023761749,6.87358948230913e-07,0.0001352742063943201,0.002601658180356026,0.0003504706546664238,0.00039751846343278886,6.17142098708141e-07,0.00013527475304037792,0.10426098024472594,0.0004880690947175026,0.00011121761053800583,9.720403500004322e-07,0.00013527008352637201
0.0,0.008855152782052756,0.0,0.0,0.00013527490242563694,0.0008120473474264144,0.0008756975643336773,0.000853981077671051,0.003672648531299804,0.00024224806201550382,0.0007339567877352237,0.00034060953184962274,0.0003937341272830963,3.292299936631052e-07,0.00013527531313596157,0.017305719386786222,0.0004381902515888214,0.00011717500165104866,2.6868615843309424e-07,0.00013527468281151662,0.0026225410401821136,0.00034763123840093614,0.0003982064314186573,2.8670328469782396e-07,0.00013527612389156192,0.10592479137703777,0.0004918119870126247,0.00011853082105517387,3.8602214834005405e-07,0.0001352762812885012
